Date,Index
1988.875,129.9756676
1988.958333,130.1363907
1989.041667,130.0870682
1989.125,130.1662872
1989.208333,130.1945753
1989.291667,130.1445668
1989.375,130.1501661
1989.458333,130.5269437
1989.541667,130.8073018
1989.625,130.9940297
1989.708333,130.8281928
1989.791667,130.3139517
1989.875,130.0561199
1989.958333,129.8074241
1990.041667,128.5298855
1990.125,128.0277015
1990.208333,127.6688601
1990.291667,127.8874283
1990.375,128.0177595
1990.458333,127.6655811
1990.541667,127.2613924
1990.625,125.9660017
1990.708333,124.5170958
1990.791667,123.2644432
1990.875,122.1388903
1990.958333,121.4848176
1991.041667,120.0648921
1991.125,119.4454747
1991.208333,119.0957551
1991.291667,119.1933747
1991.375,119.5613269
1991.458333,119.9711679
1991.541667,120.1971799
1991.625,119.9658259
1991.708333,119.4178005
1991.791667,118.8001451
1991.875,118.062444
1991.958333,117.6664989
1992.041667,117.2838226
1992.125,116.7927929
1992.208333,116.4501277
1992.291667,116.6927137
1992.375,117.0142515
1992.458333,116.9098102
1992.541667,116.826181
1992.625,116.526415
1992.708333,116.0420851
1992.791667,115.5891496
1992.875,115.3977178
1992.958333,115.3071389
1993.041667,114.6375798
1993.125,114.1353509
1993.208333,113.8198972
1993.291667,113.9153315
1993.375,114.3048804
1993.458333,114.8667216
1993.541667,115.4120266
1993.625,115.4567264
1993.708333,115.3197665
1993.791667,114.8096278
1993.875,114.7308832
1993.958333,114.6472312
1994.041667,114.4579618
1994.125,114.0766043
1994.208333,113.9013444
1994.291667,114.2606806
1994.375,114.9201531
1994.458333,115.2446705
1994.541667,115.4559936
1994.625,115.3529572
1994.708333,115.0756227
1994.791667,114.9442613
1994.875,114.5977335
1994.958333,114.4690925
1995.041667,113.9423717
1995.125,113.4467812
1995.208333,113.1979054
1995.291667,113.2380313
1995.375,113.467518
1995.458333,113.7718693
1995.541667,114.253133
1995.625,114.2942983
1995.708333,114.1892031
1995.791667,113.8038138
1995.875,113.7455648
1995.958333,113.6565727
1996.041667,112.874885
1996.125,112.4732406
1996.208333,112.2608977
1996.291667,112.4583196
1996.375,112.8946389
1996.458333,113.4357007
1996.541667,113.7273007
1996.625,113.820547
1996.708333,113.5358335
1996.791667,113.0771985
1996.875,112.7648203
1996.958333,112.6744282
1997.041667,112.3727798
1997.125,112.1065384
1997.208333,112.2502059
1997.291667,112.6630321
1997.375,113.4631291
1997.458333,114.0343639
1997.541667,114.482857
1997.625,114.6791182
1997.708333,114.6069347
1997.791667,114.4516909
1997.875,114.8193387
1997.958333,115.2482415
1998.041667,115.4540271
1998.125,115.5176349
1998.208333,115.9688499
1998.291667,116.650148
1998.375,117.5063698
